"Diak_Neve";"Osztaly";"Tantargy";"Tanar_Neve";"Jegy";"Datum"
"Balogh Ádám";"10.A";"Matematika";"Horgas Csaba";"5";"2024-02-01"
"Balogh Ádám";"10.A";"Matematika";"Horgas Csaba";"4";"2024-02-15"
"Nagy Kevin";"11.B";"Matematika";"Horgas Csaba";"3";"2024-02-01"
"Sándor Olivér";"11.B";"Matematika";"Horgas Csaba";"5";"2024-04-26"
"Mészáros Janka";"10.A";"Matematika";"Horgas Csaba";"5";"2024-03-03"
"Juhász Gergő";"10.A";"Matematika";"Horgas Csaba";"3";"2024-05-10"
"Lakatos Imre";"10.A";"Matematika";"Horgas Csaba";"5";"2024-03-11"
"Barna Vivien";"11.B";"Matematika";"Horgas Csaba";"1";"2024-02-13"
"Csonka Beáta";"10.A";"Fizika";"Horgas Csaba";"2";"2024-02-05"
"Oláh Laura";"11.B";"Fizika";"Horgas Csaba";"1";"2024-04-23"
"Sándor Olivér";"11.B";"Fizika";"Horgas Csaba";"3";"2024-04-20"
"Balogh Ádám";"10.A";"Történelem";"Vass Edit";"3";"2024-02-10"
"Dudás Csilla";"10.A";"Magyar nyelv";"Vass Edit";"4";"2024-02-11"
"Fekete Dávid";"10.A";"Magyar nyelv";"Vass Edit";"3";"2024-03-09"
"Rácz Nóra";"11.B";"Magyar nyelv";"Vass Edit";"1";"2024-02-09"
"Sándor Olivér";"11.B";"Magyar nyelv";"Vass Edit";"1";"2024-03-10"
"Oláh Laura";"11.B";"Magyar nyelv";"Vass Edit";"3";"2024-02-01"
"Takács Petra";"11.B";"Magyar nyelv";"Vass Edit";"3";"2024-05-01"
"Pál Márk";"11.B";"Magyar nyelv";"Vass Edit";"2";"2024-02-15"
"Varga Roland";"11.B";"Magyar nyelv";"Vass Edit";"3";"2024-03-08"
"Nagy Kevin";"11.B";"Magyar nyelv";"Vass Edit";"1";"2024-05-29"
"Rácz Nóra";"11.B";"Magyar nyelv";"Vass Edit";"3";"2024-03-29"
"Pál Márk";"11.B";"Testnevelés";"Kovács Gábor";"1";"2024-03-31"
"Zsigmond Tibor";"11.B";"Testnevelés";"Kovács Gábor";"4";"2024-02-27"
"Rácz Nóra";"11.B";"Testnevelés";"Kovács Gábor";"2";"2024-04-08"
