"user_id";"name";"email";"birthday"
"1";"Kiss Anna";"anna.kiss@example.com";"1995-03-12"
"2";"Nagy Béla";"bela.nagy@example.com";"1990-07-22"
"3";"Tóth Csilla";"csilla.toth@example.com";"1988-11-05"
"4";"Szabó Dániel";"daniel.szabo@example.com";"1998-01-30"
"5";"Varga Eszter";"eszter.varga@example.com";"1993-06-18"
"6";"Horváth Ferenc";"ferenc.horvath@example.com";"1985-09-09"
"7";"Molnár Gabriella";"gabriella.molnar@example.com";"1997-12-01"
"8";"Kovács Imre";"imre.kovacs@example.com";"1992-04-14"
"9";"Balogh Júlia";"julia.balogh@example.com";"2000-08-27"
"10";"Papp László";"laszlo.papp@example.com";"1989-02-10"
